"Set No","Set","Name","Country","Playing Role","IPL Matches","Capped / Uncapped /Associate","Reserve Price in Lakhs in INR","IPL 2018 Team","Auctioned Price in Lakhs in INR","IPL 2017 Team","IPL Team(s)"
"1","M1","Shikhar Dhawan","","Batsman","127","Capped","200","Sunrisers Hyderabad","520","Sunrisers Hyderabad","Sunrisers Hyderabad, Deccan Chargers, Delhi Daredevils, Mumbai Indians"
"1","M1","Ravichandran Ashwin","","All-Rounder","111","Capped","200","Kings XI Punjab","760","","Rising Pune Supergiant, Chennai Super Kings"
"1","M1","Kieron Pollard","","All-Rounder","123","Capped","200","Mumbai Indians","540","Mumbai Indians","Mumbai Indians"
"1","M1","Ben Stokes","","All-Rounder","12","Capped","200","Rajasthan Royals","1250","Rising Pune Supergiant","Rising Pune Supergiant"
"1","M1","Faf du Plessis","","Batsman","53","Capped","150","Chennai Super Kings","160","Rising Pune Supergiant","Rising Pune Supergiant, Chennai Super Kings"
"1","M1","Ajinkya Rahane","","Batsman","111","Capped","200","Rajasthan Royals","400","Rising Pune Supergiant","Rising Pune Supergiant, Mumbai Indians, Rajasthan Royals"
"1","M1","Mitchell Starc","","Bowler","27","Capped","200","Kolkata Knight Riders","940","","Royal Challengers Bangalore"
"2","M2","Harbhajan Singh","","Bowler","136","Capped","200","Chennai Super Kings","200","Mumbai Indians","Mumbai Indians"
"2","M2","Shakib Al Hasan","","All-Rounder","43","Capped","100","Sunrisers Hyderabad","200","Kolkata Knight Riders","Kolkata Knight Riders"
"2","M2","Glenn Maxwell","","All-Rounder","57","Capped","200","Delhi Daredevils","900","Kings XI Punjab","Kings XI Punjab, Delhi Daredevils, Mumbai Indians"
"2","M2","Gautam Gambhir","","Batsman","148","Capped","200","Delhi Daredevils","280","Kolkata Knight Riders","Kolkata Knight Riders, Delhi Daredevils"
"2","M2","Dwayne Bravo","","All-Rounder","106","Capped","200","Chennai Super Kings","640","","Gujarat Lions, Chennai Super Kings, Mumbai Indians"
"2","M2","Kane Williamson","","Batsman","15","Capped","150","Sunrisers Hyderabad","300","Sunrisers Hyderabad","Sunrisers Hyderabad"
"2","M2","Yuvraj Singh","","All-Rounder","120","Capped","200","Kings XI Punjab","200","Sunrisers Hyderabad","Sunrisers Hyderabad, Delhi Daredevils, Kings XI Punjab, Royal Challengers Bangalore, Pune Warriors"
"3","BA1","Karun Nair","","Batsman","55","Capped","50","Kings XI Punjab","560","Delhi Daredevils","Delhi Daredevils, Rajasthan Royals, Royal Challengers Bangalore"
"3","BA1","KL Rahul","","Batsman","39","Capped","200","Kings XI Punjab","1100","","Royal Challengers Bangalore, Sunrisers Hyderabad"
"3","BA1","David Miller","","Batsman","66","Capped","150","Kings XI Punjab","300","Kings XI Punjab","Kings XI Punjab"
"3","BA1","Aaron Finch","","Batsman","65","Capped","150","Kings XI Punjab","620","Gujarat Lions","Gujarat Lions, Delhi Daredevils, Mumbai Indians, Rajasthan Royals, Pune Warriors, Sunrisers Hyderabad"
"3","BA1","Brendon McCullum","","Batsman","103","Capped","200","Royal Challengers Bangalore","360","Gujarat Lions","Gujarat Lions, Chennai Super Kings, Kolkata Knight Riders, Kochi Tuskers Kerala"
"3","BA1","Jason Roy","","Batsman","3","Capped","150","Delhi Daredevils","150","Gujarat Lions","Gujarat Lions"
"3","BA1","Chris Lynn","","Batsman","12","Capped","200","Kolkata Knight Riders","960","Kolkata Knight Riders","Kolkata Knight Riders, Deccan Chargers"
"3","BA1","Manish Pandey","","Batsman","103","Capped","100","Sunrisers Hyderabad","1100","Kolkata Knight Riders","Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore, Pune Warriors"
"4","AL1","Chris Woakes","","All-Rounder","13","Capped","200","Royal Challengers Bangalore","740","Kolkata Knight Riders","Kolkata Knight Riders"
"4","AL1","Carlos Brathwaite","","All-Rounder","10","Capped","100","Sunrisers Hyderabad","200","Delhi Daredevils","Delhi Daredevils"
"4","AL1","Shane Watson","","All-Rounder","102","Capped","100","Chennai Super Kings","400","Royal Challengers Bangalore","Royal Challengers Bangalore, Rajasthan Royals"
"4","AL1","Kedar Jadhav","","All-Rounder","64","Capped","200","Chennai Super Kings","780","Royal Challengers Bangalore","Royal Challengers Bangalore, Delhi Daredevils, Kochi Tuskers Kerala"
"4","AL1","Colin de Grandhomme","","All-Rounder","12","Capped","75","Royal Challengers Bangalore","220","Kolkata Knight Riders","Kolkata Knight Riders"
"4","AL1","Yusuf Pathan","","All-Rounder","149","Capped","75","Sunrisers Hyderabad","190","Kolkata Knight Riders","Kolkata Knight Riders, Rajasthan Royals"
"4","AL1","Colin Munro","","All-Rounder","4","Capped","50","Delhi Daredevils","190","","Kolkata Knight Riders"
"4","AL1","Stuart Binny","","All-Rounder","80","Capped","50","Rajasthan Royals","50","Royal Challengers Bangalore","Royal Challengers Bangalore, Mumbai Indians, Rajasthan Royals"
"4","AL1","Marcus Stoinis","","All-Rounder","12","Capped","200","Kings XI Punjab","620","Kings XI Punjab","Kings XI Punjab, Delhi Daredevils"
"4","AL1","Moeen Ali","","All-Rounder","","Capped","150","Royal Challengers Bangalore","170","",""
"5","WK1","Quinton de Kock","","Wicketkeeper","26","Capped","200","Royal Challengers Bangalore","280","","Delhi Daredevils, Sunrisers Hyderabad"
"5","WK1","Wriddhiman Saha","","Wicketkeeper","104","Capped","100","Sunrisers Hyderabad","500","Kings XI Punjab","Kings XI Punjab, Chennai Super Kings, Kolkata Knight Riders"
"5","WK1","Dinesh Karthik","","Wicketkeeper","152","Capped","200","Kolkata Knight Riders","740","Gujarat Lions","Gujarat Lions, Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Royal Challengers Bangalore"
"5","WK1","Robin Uthappa","","Wicketkeeper","149","Capped","200","Kolkata Knight Riders","640","Kolkata Knight Riders","Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore, Pune Warriors"
"5","WK1","Sanju Samson","","Wicketkeeper","66","Capped","100","Rajasthan Royals","800","Delhi Daredevils","Delhi Daredevils, Rajasthan Royals"
"5","WK1","Ambati Rayudu","","Wicketkeeper","114","Capped","50","Chennai Super Kings","220","Mumbai Indians","Mumbai Indians"
"5","WK1","Jos Buttler","","Wicketkeeper","24","Capped","150","Rajasthan Royals","440","Mumbai Indians","Mumbai Indians"
"6","FA1","Mustafizur Rahman","","Bowler","17","Capped","100","Mumbai Indians","220","Sunrisers Hyderabad","Sunrisers Hyderabad"
"6","FA1","Pat Cummins","","Bowler","16","Capped","200","Mumbai Indians","540","Kolkata Knight Riders","Kolkata Knight Riders, Delhi Daredevils"
"6","FA1","Umesh Yadav","","Bowler","94","Capped","100","Royal Challengers Bangalore","420","Kolkata Knight Riders","Kolkata Knight Riders, Delhi Daredevils"
"6","FA1","Mohammed Shami","","Bowler","39","Capped","100","Delhi Daredevils","300","Delhi Daredevils","Delhi Daredevils, Kolkata Knight Riders"
"6","FA1","Kagiso Rabada","","Bowler","6","Capped","150","Delhi Daredevils","420","Delhi Daredevils","Delhi Daredevils"
"7","SP1","Piyush Chawla","","Bowler","129","Capped","100","Kolkata Knight Riders","420","Kolkata Knight Riders","Kolkata Knight Riders, Kings XI Punjab"
"7","SP1","Imran Tahir","","Bowler","32","Capped","100","Chennai Super Kings","100","Delhi Daredevils","Delhi Daredevils, Rising Pune Supergiant"
"7","SP1","Karn Sharma","","Bowler","56","Capped","200","Chennai Super Kings","500","Sunrisers Hyderabad","Sunrisers Hyderabad, Mumbai Indians, Royal Challengers Bangalore"
"7","SP1","Rashid Khan","","Bowler","14","Capped","200","Sunrisers Hyderabad","900","Sunrisers Hyderabad","Sunrisers Hyderabad"
"7","SP1","Amit Mishra","","Bowler","126","Capped","150","Delhi Daredevils","400","Delhi Daredevils","Delhi Daredevils, Deccan Chargers, Sunrisers Hyderabad, Gujarat Lions"
"7","SP1","Yuzvendra Chahal","","Bowler","56","Capped","200","Royal Challengers Bangalore","600","Royal Challengers Bangalore","Royal Challengers Bangalore, Mumbai Indians"
"7","SP1","Kuldeep Yadav","","Bowler","15","Capped","150","Kolkata Knight Riders","580","Kolkata Knight Riders","Kolkata Knight Riders"
"8","UBA1","Suryakumar Yadav","","Batsman","55","Uncapped","30","Mumbai Indians","320","Kolkata Knight Riders","Kolkata Knight Riders, Mumbai Indians"
"8","UBA1","Shubman Gill","","Batsman","","Uncapped","20","Kolkata Knight Riders","180","",""
"8","UBA1","Ishank Jaggi","","Batsman","7","Uncapped","20","Kolkata Knight Riders","20","Kolkata Knight Riders","Deccan Chargers, Kolkata Knight Riders"
"8","UBA1","Ricky Bhui","","Batsman","0","Uncapped","20","Sunrisers Hyderabad","20","Sunrisers Hyderabad*","Sunrisers Hyderabad"
"8","UBA1","Mayank Agarwal","","Batsman","53","Uncapped","20","Kings XI Punjab","100","Delhi Daredevils","Delhi Daredevils, Royal Challengers Bangalore, Rising Pune Supergiant"
"8","UBA1","Rahul Tripathi","","Batsman","14","Uncapped","20","Rajasthan Royals","340","Rising Pune Supergiant","Rising Pune Supergiant"
"8","UBA1","Manan Vohra","","Batsman","45","Uncapped","20","Royal Challengers Bangalore","110","Kings XI Punjab","Kings XI Punjab"
"8","UBA1","Prithvi Shaw","","Batsman","","Uncapped","20","Delhi Daredevils","120","",""
"9","UAL1","Rahul Tewatia","","All-Rounder","7","Uncapped","20","Delhi Daredevils","300","Kings XI Punjab","Kings XI Punjab, Rajasthan Royals"
"9","UAL1","Deepak Hooda","","All-Rounder","41","Uncapped","40","Sunrisers Hyderabad","360","Sunrisers Hyderabad","Sunrisers Hyderabad, Rajasthan Royals"
"9","UAL1","Vijay Shankar","","All-Rounder","5","Uncapped","40","Delhi Daredevils","320","Sunrisers Hyderabad","Sunrisers Hyderabad, Chennai Super Kings"
"9","UAL1","Harshal Patel","","All-Rounder","36","Uncapped","20","Delhi Daredevils","20","Royal Challengers Bangalore","Royal Challengers Bangalore"
"9","UAL1","Kamlesh Nagarkoti","","All-Rounder","","Uncapped","20","Kolkata Knight Riders","320","",""
"9","UAL1","Krunal Pandya","","All-Rounder","37","Uncapped","40","Mumbai Indians","880","Mumbai Indians","Mumbai Indians"
"9","UAL1","Nitish Rana","","All-Rounder","17","Uncapped","20","Kolkata Knight Riders","340","Mumbai Indians","Mumbai Indians"
"9","UAL1","Darcy Short","","All-Rounder","","Uncapped","20","Rajasthan Royals","400","",""
"9","UAL1","Jofra Archer","","All-Rounder","","Uncapped","40","Rajasthan Royals","720","",""
"10","UWK1","Ishan Kishan","","Wicketkeeper","16","Uncapped","40","Mumbai Indians","620","Gujarat Lions","Gujarat Lions"
"11","UFA1","Kulwant Khejroliya","","Bowler","0","Uncapped","20","Royal Challengers Bangalore","85","Mumbai Indians*","Mumbai Indians"
"11","UFA1","Siddharth Kaul","","Bowler","21","Uncapped","30","Sunrisers Hyderabad","380","Sunrisers Hyderabad","Sunrisers Hyderabad, Delhi Daredevils"
"11","UFA1","T Natarajan","","Bowler","6","Uncapped","40","Sunrisers Hyderabad","40","Kings XI Punjab","Kings XI Punjab"
"11","UFA1","Basil Thampi","","Bowler","12","Uncapped","30","Sunrisers Hyderabad","95","Gujarat Lions","Gujarat Lions"
"11","UFA1","Aniket Choudhary","","Bowler","5","Uncapped","30","Royal Challengers Bangalore","30","Royal Challengers Bangalore","Royal Challengers Bangalore"
"11","UFA1","Khaleel Ahmed","","Bowler","0","Uncapped","20","Sunrisers Hyderabad","300","Delhi Daredevils*","Delhi Daredevils"
"11","UFA1","Navdeep Saini","","Bowler","0","Uncapped","20","Royal Challengers Bangalore","300","Delhi Daredevils*","Delhi Daredevils"
"11","UFA1","Avesh Khan","","Bowler","1","Uncapped","20","Delhi Daredevils","70","Royal Challengers Bangalore","Royal Challengers Bangalore"
"11","UFA1","Ankit Rajpoot","","Bowler","11","Uncapped","30","Kings XI Punjab","300","Kolkata Knight Riders","Kolkata Knight Riders, Chennai Super Kings"
"12","USP1","Rahul Chahar","","Bowler","3","Uncapped","20","Mumbai Indians","190","Rising Pune Supergiant","Rising Pune Supergiant"
"12","USP1","Shahbaz Nadeem","","Bowler","55","Uncapped","40","Delhi Daredevils","320","Delhi Daredevils","Delhi Daredevils"
"12","USP1","Krishnappa Gowtham","","Bowler","0","Uncapped","20","Rajasthan Royals","620","Mumbai Indians*","Mumbai Indians"
"12","USP1","Murugan Ashwin","","Bowler","10","Uncapped","20","Royal Challengers Bangalore","220","Delhi Daredevils*","Delhi Daredevils , Rising Pune Supergiant"
"13","BA2","Evin Lewis","","Batsman","","Capped","150","Mumbai Indians","380","",""
"13","BA2","Saurabh Tiwary","","Batsman","81","Capped","50","Mumbai Indians","80","Mumbai Indians","Rising Pune Supergiant, Delhi Daredevils, Mumbai Indians, Royal Challengers Bangalore"
"13","BA2","Mandeep Singh","","Batsman","70","Capped","50","Royal Challengers Bangalore","140","Royal Challengers Bangalore","Royal Challengers Bangalore, Kings XI Punjab, Kolkata Knight Riders"
"13","BA2","Manoj Tiwary","","Batsman","93","Capped","50","Kings XI Punjab","100","Kolkata Knight Riders","Rising Pune Supergiant, Kolkata Knight Riders, Delhi Daredevils"
"14","AL2","Washington Sundar","","All-Rounder","11","Capped","150","Royal Challengers Bangalore","320","Rising Pune Supergiant","Rising Pune Supergiant"
"14","AL2","Pawan Negi","","All-Rounder","41","Capped","50","Royal Challengers Bangalore","100","Royal Challengers Bangalore","Delhi Daredevils, Chennai Super Kings, Royal Challengers Bangalore"
"14","AL2","Daniel Christian","","All-Rounder","36","Capped","100","Delhi Daredevils","150","Rising Pune Supergiant","Royal Challengers Bangalore, Deccan Chargers, Rising Pune Supergiant"
"14","AL2","Jayant Yadav","","All-Rounder","10","Capped","50","Delhi Daredevils","50","Delhi Daredevils","Delhi Daredevils"
"14","AL2","Gurkeerat Singh","","All-Rounder","30","Capped","50","Delhi Daredevils","75","Kings XI Punjab","Kings XI Punjab"
"14","AL2","Ben Cutting","","All-Rounder","9","Capped","100","Mumbai Indians","220","Sunrisers Hyderabad","Sunrisers Hyderabad, Rajasthan Royals"
"14","AL2","Mohammad Nabi","","All-Rounder","3","Capped","50","Sunrisers Hyderabad","100","Sunrisers Hyderabad","Sunrisers Hyderabad"
"15","FA2","Dhawal Kulkarni","","Bowler","72","Capped","50","Rajasthan Royals","75","Gujarat Lions","Gujarat Lions, Mumbai Indians, Rajasthan Royals"
"15","FA2","Mohit Sharma","","Bowler","75","Capped","150","Kings XI Punjab","240","Kings XI Punjab","Kings XI Punjab, Chennai Super Kings"
"15","FA2","Sandeep Sharma","","Bowler","56","Capped","50","Sunrisers Hyderabad","300","Kings XI Punjab","Kings XI Punjab"
"15","FA2","Vinay Kumar","","Bowler","103","Capped","100","Kolkata Knight Riders","100","Mumbai Indians","Mumbai Indians, Kolkata Knight Riders, Royal Challengers Bangalore, Kochi Tuskers Kerala"
"15","FA2","Mohammed Siraj","","Bowler","6","Capped","100","Royal Challengers Bangalore","260","Sunrisers Hyderabad","Sunrisers Hyderabad"
"15","FA2","Nathan Coulter-Nile","","Bowler","26","Capped","150","Royal Challengers Bangalore","220","Kolkata Knight Riders","Delhi Daredevils, Kolkata Knight Riders, Mumbai Indians"
"15","FA2","Jaydev Unadkat","","Bowler","47","Capped","150","Rajasthan Royals","1150","Rising Pune Supergiant","Kolkata Knight Riders, Delhi Daredevils, Royal Challengers Bangalore, Rising Pune Supergiant"
"15","FA2","Trent Boult","","Bowler","14","Capped","150","Delhi Daredevils","220","Kolkata Knight Riders","Sunrisers Hyderabad, Kolkata Knight Riders"
"15","FA2","Shardul Thakur","","Bowler","13","Capped","75","Chennai Super Kings","260","Rising Pune Supergiant","Kings XI Punjab, Rising Pune Supergiant"
"16","SP2","Mujeeb Zadran","","Bowler","","Capped","50","Kings XI Punjab","400","",""
"17","UBA2","Apoorv Wankhade","","Batsman","0","Uncapped","20","Kolkata Knight Riders","20","","Mumbai Indians"
"17","UBA2","Rinku Singh","","Batsman","0","Uncapped","20","Kolkata Knight Riders","80","Kings XI Punjab*","Kings XI Punjab"
"17","UBA2","Sachin Baby","","Batsman","18","Uncapped","20","Sunrisers Hyderabad","20","Royal Challengers Bangalore","Royal Challengers Bangalore, Rajasthan Royals"
"17","UBA2","Manjot Kalra","","Batsman","","Uncapped","20","Delhi Daredevils","20","",""
"18","UAL2","Ankit Sharma","","All-Rounder","21","Uncapped","20","Rajasthan Royals","20","Rising Pune Supergiant","Rising Pune Supergiant, Deccan Chargers, Rajasthan Royals, Sunrisers Hyderabad"
"18","UAL2","Shivam Mavi","","All-Rounder","","Uncapped","20","Kolkata Knight Riders","300","",""
"18","UAL2","Abhishek Sharma","","All-Rounder","","Uncapped","20","Delhi Daredevils","55","",""
"19","UFA2","Pradeep Sangwan","","Bowler","35","Uncapped","30","Mumbai Indians","150","Gujarat Lions","Gujarat Lions, Delhi Daredevils, Kolkata Knight Riders"
"19","UFA2","Anureet Singh","","Bowler","20","Uncapped","30","Rajasthan Royals","30","Kings XI Punjab","Kings XI Punjab, Kolkata Knight Riders"
"21","UWK2","Narayan Jagadeesan","","Wicketkeeper","","Uncapped","20","Chennai Super Kings","20","",""
"22","USP2","Zahir Khan Pakteen","","Bowler","","Uncapped","20","Rajasthan Royals","60","",""
"24","AL3","Jean-Paul Duminy","","All-Rounder","77","Capped","100","Mumbai Indians","100","","Delhi Daredevils, Deccan Chargers, Mumbai Indians"
"24","AL3","Chris Jordan","","All-Rounder","10","Capped","100","Sunrisers Hyderabad","100","Sunrisers Hyderabad","Royal Challengers Bangalore, Sunrisers Hyderabad"
"24","AL3","Mitchell Santner","","All-Rounder","","Capped","50","Chennai Super Kings","50","",""
"26","FA3","Jason Behrendorff","","Bowler","","Capped","100","Mumbai Indians","150","",""
"26","FA3","Barinder Sran","","Bowler","16","Capped","50","Kings XI Punjab","220","Sunrisers Hyderabad","Rajasthan Royals, Sunrisers Hyderabad"
"26","FA3","Billy Stanlake","","Bowler","2","Capped","50","Sunrisers Hyderabad","50","Royal Challengers Bangalore","Royal Challengers Bangalore"
"26","FA3","Andrew Tye","","Bowler","6","Capped","100","Kings XI Punjab","720","Gujarat Lions","Gujarat Lions, Chennai Super Kings"
"28","UBA3","Tanmay Agarwal","","Batsman","0","Uncapped","20","Sunrisers Hyderabad","20","Sunrisers Hyderabad*","Sunrisers Hyderabad"
"29","UAL3","Deepak Chahar","","All-Rounder","5","Uncapped","20","Chennai Super Kings","80","Rising Pune Supergiant","Rising Pune Supergiant"
"29","UAL3","Cameron Delport","","All-Rounder","","Uncapped","30","Kolkata Knight Riders","30","",""
"29","UAL3","Tajinder Singh","","All-Rounder","","Uncapped","20","Mumbai Indians","55","",""
"29","UAL3","Shreyas Gopal","","All-Rounder","6","Uncapped","20","Rajasthan Royals","20","","Mumbai Indians"
"29","UAL3","Akshdeep Nath","","All-Rounder","5","Uncapped","20","Kings XI Punjab","100","Gujarat Lions","Gujarat Lions"
"30","UWK3","Shreevats Goswami","","Wicketkeeper","23","Uncapped","20","Sunrisers Hyderabad","100","","Rajasthan Royals, Kolkata Knight Riders, Royal Challengers Bangalore"
"31","UFA3","Ben Dwarshuis","","Bowler","","Uncapped","20","Kings XI Punjab","140","",""
"31","UFA3","KM Asif","","Bowler","","Uncapped","20","Chennai Super Kings","40","",""
"32","USP3","Sandeep Lamichhane","","Bowler","","Associate","20","Delhi Daredevils","20","",""
"35","FA4","Lungisani Ngidi","","Bowler","","Capped","50","Chennai Super Kings","50","",""
"36","UBA4","Sharad Lumba","","Batsman","","Uncapped","20","Mumbai Indians","20","",""
"37","UAL4","Kanishk Seth","","All-Rounder","","Uncapped","20","Chennai Super Kings","20","",""
"37","UAL4","Dhruv Shorey","","All-Rounder","","Uncapped","20","Chennai Super Kings","20","",""
"57","UAL9","Aniruddha Joshi","","All-Rounder","","Uncapped","20","Royal Challengers Bangalore","20","",""
"58","UAL10","Sudhesan Midhun","","All-Rounder","","Uncapped","20","Rajasthan Royals","20","",""
"3","BA1","Murali Vijay","","Batsman","100","Capped","200","Chennai Super Kings","200","","Kings XI Punjab, Chennai Super Kings, Delhi Daredevils"
"5","WK1","Sam Billings","","Wicketkeeper","11","Capped","100","Chennai Super Kings","100","Delhi Daredevils","Delhi Daredevils"
"5","WK1","Naman Ojha","","Wicketkeeper","112","Capped","75","Delhi Daredevils","140","Sunrisers Hyderabad","Sunrisers Hyderabad, Delhi Daredevils, Rajasthan Royals"
"5","WK1","Parthiv Patel","","Wicketkeeper","119","Capped","100","Royal Challengers Bangalore","170","Mumbai Indians","Mumbai Indians, Chennai Super Kings, Deccan Chargers, Royal Challengers Bangalore, Kochi Tuskers Kerala, Sunrisers Hyderabad"
"6","FA1","Mitchell Johnson","","Bowler","48","Capped","200","Kolkata Knight Riders","200","Mumbai Indians","Kings XI Punjab, Mumbai Indians"
"6","FA1","Tim Southee","","Bowler","29","Capped","100","Royal Challengers Bangalore","100","Mumbai Indians","Mumbai Indians, Chennai Super Kings, Rajasthan Royals"
"8","UBA1","Siddhesh Lad","","Batsman","0","Uncapped","20","Mumbai Indians","20","Mumbai Indians*","Mumbai Indians"
"10","UWK1","Prashant Chopra","","Wicketkeeper","","Uncapped","20","Rajasthan Royals","20","",""
"10","UWK1","Aditya Tare","","Wicketkeeper","35","Uncapped","20","Mumbai Indians","20","Delhi Daredevils","Sunrisers Hyderabad, Delhi Daredevils, Mumbai Indians"
"18","UAL2","Bipul Sharma","","All-Rounder","33","Uncapped","20","Sunrisers Hyderabad","20","Sunrisers Hyderabad","Sunrisers Hyderabad, Kings XI Punjab"
"19","UFA2","Sayan Ghosh","","Bowler","0","Uncapped","20","Delhi Daredevils","20","Kolkata Knight Riders*","Kolkata Knight Riders"
"22","USP2","Mayank Markande","","Bowler","","Uncapped","20","Mumbai Indians","20","",""
"26","FA3","Ben Laughlin","","Bowler","2","Capped","50","Rajasthan Royals","50","Sunrisers Hyderabad*","Chennai Super Kings, Sunrisers Hyderabad"
"27","SP3","Akila Dananjaya","","Bowler","","Capped","50","Mumbai Indians","50","","Chennai Super Kings"
"32","USP3","Pardeep Sahu","","Bowler","5","Uncapped","20","Kings XI Punjab","20","Kings XI Punjab*","Kings XI Punjab, Rajasthan Royals"
"37","UAL4","Mayank Dagar","","All-Rounder","","Uncapped","20","Kings XI Punjab","20","",""
"37","UAL4","Anukul Roy","","All-Rounder","","Uncapped","20","Mumbai Indians","20","",""
"42","FA5","Mark Wood","","Bowler","","Capped","150","Chennai Super Kings","150","",""
"44","UAL5","Mahipal Lomror","","All-Rounder","","Uncapped","20","Rajasthan Royals","20","",""
"45","UFA5","Mohsin Khan","","Bowler","","Uncapped","20","Mumbai Indians","20","",""
"49","UAL6","Mehdi Hasan","","All-Rounder","","Uncapped","20","Sunrisers Hyderabad","20","",""
"49","UAL6","Kshitiz Sharma","","All-Rounder","","Uncapped","20","Chennai Super Kings","20","",""
"54","UFA7","Monu Kumar","","Bowler","","Uncapped","20","Chennai Super Kings","20","",""
"55","UAL8","Chaitanya Bishnoi","","All-Rounder","","Uncapped","20","Chennai Super Kings","20","",""
"59","UAL11","Jatin Saxena","","All-Rounder","","Uncapped","20","Rajasthan Royals","20","",""
"61","UAL13","Aryaman Birla","","All-Rounder","","Uncapped","20","Rajasthan Royals","30","",""
"61","UAL13","Pavan Deshpande","","All-Rounder","","Uncapped","20","Royal Challengers Bangalore","20","",""
"1","M1","Chris Gayle","","Batsman","101","Capped","200","Kings XI Punjab","200","Royal Challengers Bangalore","Royal Challengers Bangalore, Kolkata Knight Riders"
"47","FA6","Dushmantha Chameera","","Bowler","","Capped","50","Rajasthan Royals","50","",""
"50","UFA6","M. D. Nidheesh","","Bowler","","Uncapped","20","Mumbai Indians","20","",""
"57","UAL9","Manzoor Dar","","All-Rounder","","Uncapped","20","Kings XI Punjab","20","",""
"59","UAL11","Javon Searles","","All-Rounder","","Uncapped","30","Kolkata Knight Riders","30","",""
